m,l,P,r,T,d,e,k,ad,rad,nabla,trans
9.999999999999974e-13,1.067705190874088e-09,17.033381302120986,3.453384869733133e-05,7.3657524366201175,1.5339835070042942,2053.8158872866575,0.5352063214642997,0.4,1.6121469073595152,0.4,Convective
1.5399524598014912e-11,1.644214851887048e-08,17.033381282537857,8.583805541828553e-05,7.365752428786865,1.5339834953346354,2053.8152118643357,0.5352063295456257,0.4,1.61214659964921,0.4,Convective
2.37145357844865e-10,2.532009601978978e-07,17.033381162098546,0.00021331240479948167,7.365752380611141,1.533983423564415,2053.8110579166837,0.5352063792470446,0.4,1.6121450415128178,0.4,Convective
3.6519257714370557e-09,3.899145000584714e-06,17.033380410857237,0.0005311855414565773,7.365752080114616,1.5339829758969932,2053.7851478181005,0.5352066892602133,0.4,1.6121354869772664,0.4,Convective
5.6237920747369666e-08,6.004216566023743e-05,17.033375807441935,0.0013197517912938693,7.365750238748306,1.5339802327052232,2053.6263844309974,0.5352085889461116,0.4,1.612075917303894,0.4,Convective
8.660372438903346e-07,0.0009243543429102025,17.033347076774223,0.003286473163139042,7.365738746477474,1.5339631119966972,2052.6357920762425,0.5352204453524423,0.4,1.6117110113519977,0.4,Convective
1.3336561840086171e-05,0.014209097261269272,17.033170242940173,0.008171019298508029,7.36566801274134,1.5338577361579087,2046.5492684005126,0.535293426178491,0.4,1.6094340164634802,0.4,Convective
0.00020537671210935454,0.2164293016017479,17.032077350220156,0.020318514331735493,7.365230845493734,1.5332064831432686,2009.3286072379938,0.5357447071343018,0.4,1.5956483549877005,0.4,Convective
0.0031627037299874405,3.111916091461051,17.025203200965752,0.05074627609562699,7.3624810127995755,1.5291101453455278,1790.1880598161877,0.5385920837003123,0.4,1.5120597518713703,0.4,Convective
0.048704133886174825,31.724712123158717,16.98117255237109,0.12790731796807334,7.344867960365212,1.5028655449189436,854.3325721015601,0.5571903804808721,0.4,1.1005167489771581,0.4,Convective
0.75,79.40802342381804,16.637255528752874,0.3392336536605114,7.209866973581889,1.2949501993105565,9.086700582381084,0.7039218649710699,0.4,0.35495694889059864,0.35495694889059864,Radiative
1.1999408998817997,80.5721196171948,16.40135243591771,0.4264673927100693,7.13338509349522,1.1357897233849863,2.468651067432015,0.7946223029234182,0.4,0.2985782821288084,0.2985782821288084,Radiative
1.6498817997635995,80.90035945812672,16.123598239283243,0.5141936278476168,7.057018490097085,0.9344942138326338,0.6973308208585761,0.8741481914369171,0.4,0.25566273593061634,0.25566273593061634,Radiative
2.099822699645399,80.98528519594164,15.759471937128419,0.6188604165838285,6.970367467772447,0.6569613974453152,0.14430307504299944,1.0159984997246077,0.4,0.22448074381099248,0.22448074381099248,Radiative
2.549763599527199,80.9993424762953,15.18131408834855,0.7778586786472376,6.847835200981217,0.20100873006241074,0.012392346739188743,1.3793685174954469,0.4,0.20497252017143264,0.20497252017143264,Radiative
2.999700000600001,81.0,10.796482141986656,1.8364236302242554,5.894847307517038,-3.2357497505000876,1.0492952914180592e-13,5.999524961880935,0.4,0.202617728638989,0.202617728638989,Radiative
2.9997600007200007,81.0,10.687099864431124,1.8521521812211585,5.872606624949983,-3.3232162264945773,4.7214319850675263e-14,6.292665512562605,0.4,0.2027528610941854,0.2027528610941854,Radiative
2.999820000840001,81.0,10.546930350278847,1.8715575965975022,5.844550316920832,-3.4357999608530148,1.688782389878176e-14,6.641438002326581,0.4,0.20065107844817576,0.20065107844817576,Radiative
2.9998800009600015,81.0,10.350877043842685,1.8973216651497566,5.805099414007913,-3.5930984560212793,3.870290073895455e-15,7.301957294252202,0.4,0.2020041459041554,0.2020041459041554,Radiative
2.999940001080002,81.0,10.019453347672952,1.9373468986930642,5.738417694513321,-3.8591698716994287,2.953276827532114e-16,8.584510113432042,0.4,0.2046119557618602,0.2046119557618602,Radiative
2.999994001188002,81.0,8.945657088385166,2.038913661713012,5.5144026386304725,-4.713843353989181,2.4945051311850245e-20,13.472509104279842,0.4,0.21326526296541362,0.21326526296541362,Radiative
2.9999994011988025,81.0,7.901916960997722,2.1027695238269337,5.267457839995751,-5.512657981984256,2.0611605742863307e-25,19.683811023541956,0.4,0.27391707730201653,0.27391707730201653,Radiative
2.99999999519999,81.0,5.769085725174328,2.1600399385935707,4.747415660870516,-7.127610684371516,2.552790723508751e-39,20.100379267617917,0.4,0.24777162488933813,0.24777162488933813,Radiative
2.999999996999994,81.0,5.563603447544662,2.1629094997796163,4.6930319311513315,-7.278189664712171,4.527171144521253e-41,23.55743036595789,0.4,0.2985574233146211,0.2985574233146211,Radiative
2.9999999987999977,81.0,5.164510659820979,2.167452801450196,4.567898313608049,-7.548322108169863,2.7106965084006313e-45,19.881098071954195,0.4,0.3182599628315303,0.3182599628315303,Radiative
